First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address
スマート光ビジネスWi-Fi サポートセンター ,,,,,,,,,,,,,,"設定変更依頼書の送り先
設定変更依頼時は、必ず連絡先になる電話番号も本文に書くこと",,業務用 ::: * myContacts,* ,wifi_support-ml@east.ntt.co.jp,,,,,,,,,,,,,,,,,
,,セキュリティオペレーションセンター,,,せきゅりてぃおぺれーしょんせんたー,BizBoxUTM,,,,NTT PCコミュニケーションズ,,,,,,業務用 ::: お客様専用 ::: * myContacts,,,Work,0120 708 602,,,,,,,,,,,,,,,
,,西日本BBサポートセンター,,,にしにほんBBサポートセンター,,,CRM,,,,,,局内サービス全般の問い合わせ先,,社内専用 ::: 業務用 ::: * myContacts,,,Work,06-6100-3748,,,,,,,,,,,,,,,
Wi-Fiサポートセンター,,ハイエンドプラン,,,,,,,,NTT西日本,,,,"メイン : 出張オプション無し
仕事 : 出張オプション有り
　365日　0900-1800
その他 : NTTマーケティングアクト（ハイエンドWOW）
　CAF番号と契約者名を伝えればWOW番号を確認できる",,社内専用 ::: 業務用 ::: お客様専用 ::: * myContacts,,,Main,0120-501-011,Work,0120-226-377,Other,06-6195-1026,,,,,,,,,,,
,,ひかり開通（一宮）,,,ひかりかいつう,,,,,,,,,,,業務用 ::: * myContacts,,,Work,0586734995,,,,,,,,,,,,,,,
サポートセンター(訪問修理有り),,ビジネスWi-Fiハイエンド,,,,,,,,,,,,24時間365日,,業務用 ::: * myContacts,,,,0120-226-377,,,,,,,,,,,,,,,
ビジネスWi-fi,,開通案内に関する問い合わせ,カイツウアンナイ,,ビジネス,,,,,,,,,"平日0900-1730
土日・祝日及び年末年始を除く",,社内専用 ::: 業務用 ::: * myContacts,* Work,office_wifi@ml.nttact.co.jp,Work,06-6105-4756,,,,,,,,,,,,,,,
ビジネスWi-fi,,情報機器に関する問い合わせ,ジョウホウキキ,,ビジネス,,,,,,,,,"平日0900-1730
土日・祝日及び年末年始を除く",,社内専用 ::: 業務用 ::: * myContacts,* Work,biz-wifi_ap@ml.east.ntt.co.jp,Work,03-5359-6661,,,,,,,,,,,,,,,
ビジネスWi-fi,,申込書兼パラメータシート送付先,モウシコミショ,,ビジネス,,,,,,,,,"平日0900-1730
土日・祝日及び年末年始を除く",,社内専用 ::: 業務用 ::: * myContacts,* Work,wifi-support@ntt-neo.co.jp,Work,092-791-1078,,,,,,,,,,,,,,,
ヘルプデスク,,フレッツSDx,,,,,,,,NTT西日本,,,,課金開始後のお客様についての相談はこちらを利用する,,業務用 ::: * myContacts,,,Main,06-6227-8194,,,,,,,,,,,,,,,
故障受付センター,,フレッツSDx,,,,,,,,NTT西日本,MC-SOC高度オペレーション推進担当,,,,,業務用 ::: * myContacts,,,Main,0120-456-147,,,,,,,,,,,,,,,
ルーターおまかせプランサポートセンター,,,,,,,,ルタおま,,NTT西日本,,,,"メイン : ルーターサポートセンター
　時間帯で接続先が変わる
　　0900-2100 : オフサポセンター
　　2100-0900 : IPカスタマーセンター
　　サポセンはお客様専用であり、社員の問い合わせには使用できない
仕事1 : 故障時
　24時間365日
仕事2 : 社員問い合わせ用
　お客様のLANポート使用状況等は確認可能
仕事3 : SCSK技術問い合わせ窓口
　設計上の可否等について問い合わせできる
　",,社内専用 ::: 業務用 ::: お客様専用 ::: * myContacts,,,Main,0800-200-2368,Work,0800-200-7910,仕事2,072-940-6166,仕事3,06-6223-6240,,,,,,,,,
コマンド,一宮,レガシー,コマンド,,レガシー,,,,,,,,,,,社内専用 ::: 業務用 ::: * myContacts,,,Work,0800-200-9093 ::: 0586723511,Work Fax,0586-25-4425,,,,,,,,,,,,,
宅内詳細設計グループ,,,,,,,,,,株式会社シーキューブ愛知,,,,,,社内専用 ::: 業務用 ::: 取引先 ::: * myContacts,* ,c3a-se@c-cube-g.co.jp,,0568-44-2662,,,,,,,,,,,,,,,
